               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.67017,             0.60445,             0.68213,             0.44875,            0.041351,            0.038265,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043834,             0.06175,            0.017223,              0.7468,               0.626,             0.72529,             0.48413,             0.04045,            0.037101,           0.0094003,            0.086426,           0.0014257,           0.0014257
                   2,            0.044728,            0.070213,            0.016038,             0.77631,             0.64398,             0.74845,             0.48893,            0.040103,            0.036204,           0.0083698,            0.079072,           0.0020723,           0.0020723
                   3,            0.043939,            0.062171,            0.013709,             0.80305,             0.64833,             0.75957,             0.50368,            0.039911,            0.035917,           0.0076457,             0.07164,           0.0026396,           0.0026396
                   4,            0.044341,             0.06109,            0.013421,             0.78425,             0.69193,             0.77429,             0.51937,            0.039672,             0.03526,           0.0070096,            0.064128,           0.0031278,           0.0031278
                   5,            0.044311,            0.056521,            0.013879,             0.79818,             0.69773,             0.79061,             0.50793,             0.04086,            0.033847,           0.0064816,            0.056537,           0.0035367,           0.0035367
                   6,            0.043886,            0.050769,            0.013534,             0.78224,             0.71659,             0.79509,             0.50234,            0.040838,            0.033309,           0.0061829,            0.048867,           0.0038665,           0.0038665
                   7,            0.045912,            0.060863,            0.010576,             0.76406,             0.74123,             0.80037,             0.50581,            0.041347,            0.032851,           0.0056599,            0.041117,           0.0041171,           0.0041171
                   8,            0.044774,            0.059103,             0.01267,             0.80294,              0.7373,              0.8207,             0.52131,            0.041133,            0.032565,           0.0053532,            0.033288,           0.0042884,           0.0042884
                   9,            0.043327,            0.055202,            0.010302,             0.80604,             0.76107,             0.81971,             0.53878,            0.040374,            0.032257,           0.0052011,            0.025381,           0.0043806,           0.0043806
                  10,            0.045742,            0.062856,            0.010171,             0.77323,             0.77288,             0.81836,             0.52088,             0.04131,            0.031458,           0.0050122,            0.017394,           0.0043935,           0.0043935
                  11,            0.043739,            0.056079,           0.0097739,             0.81541,             0.78852,             0.83657,             0.56149,            0.038953,            0.030383,           0.0048896,           0.0093273,           0.0043273,           0.0043273
                  12,            0.042527,            0.050366,            0.011405,             0.81375,             0.78142,             0.83127,              0.5721,            0.039538,            0.029417,           0.0047031,             0.00406,             0.00406,             0.00406
                  13,            0.043184,            0.055418,            0.010697,             0.81256,             0.78083,             0.83157,             0.57179,            0.039314,            0.029093,           0.0046191,             0.00406,             0.00406,             0.00406
                  14,            0.041657,            0.048625,           0.0091685,             0.85164,             0.78924,             0.84634,             0.58923,            0.037457,            0.028628,           0.0044913,            0.003565,            0.003565,            0.003565
                  15,            0.040141,            0.052097,           0.0088082,              0.8724,             0.77879,             0.85226,             0.59396,            0.036114,            0.028159,           0.0043735,             0.00307,             0.00307,             0.00307
                  16,             0.04158,            0.048648,           0.0090907,             0.87937,             0.79923,             0.86884,             0.61563,            0.035531,            0.027972,            0.004271,            0.002575,            0.002575,            0.002575
                  17,            0.038191,            0.048953,           0.0094847,             0.87525,             0.80477,             0.86899,             0.62664,            0.034664,             0.02781,           0.0041113,             0.00208,             0.00208,             0.00208
                  18,            0.037689,            0.048767,           0.0086112,             0.88659,             0.79959,             0.87029,              0.6289,            0.034337,            0.027723,           0.0040358,            0.001585,            0.001585,            0.001585
                  19,            0.036672,            0.049464,           0.0096691,             0.90467,             0.79958,             0.87415,              0.6371,            0.033837,             0.02754,           0.0039402,             0.00109,             0.00109,             0.00109
